DataZone,InterZone,MMWard,Council,SPConst,CHP,HBCode
S01006801,S02001287,S13002507,S12000034,S16000081,S03000013,S08000020
S01006802,S02001287,S13002507,S12000034,S16000081,S03000013,S08000020
S01006803,S02001287,S13002507,S12000034,S16000081,S03000013,S08000020
S01006804,S02001287,S13002507,S12000034,S16000081,S03000013,S08000020
S01006805,S02001287,S13002507,S12000034,S16000081,S03000013,S08000020
S01006806,S02001288,S13002507,S12000034,S16000081,S03000013,S08000020
S01006807,S02001288,S13002507,S12000034,S16000081,S03000013,S08000020
S01006808,S02001288,S13002507,S12000034,S16000081,S03000013,S08000020
S01006809,S02001288,S13002507,S12000034,S16000081,S03000013,S08000020
S01006810,S02001288,S13002507,S12000034,S16000081,S03000013,S08000020
S01006811,S02001289,S13002507,S12000034,S16000081,S03000013,S08000020
S01006812,S02001289,S13002507,S12000034,S16000081,S03000013,S08000020
S01006813,S02001289,S13002507,S12000034,S16000081,S03000013,S08000020
S01006814,S02001289,S13002507,S12000034,S16000081,S03000013,S08000020
S01006815,S02001289,S13002507,S12000034,S16000081,S03000013,S08000020
S01006816,S02001289,S13002507,S12000034,S16000081,S03000013,S08000020
S01006817,S02001289,S13002507,S12000034,S16000081,S03000013,S08000020
S01006818,S02001290,S13002507,S12000034,S16000081,S03000013,S08000020
S01006819,S02001290,S13002506,S12000034,S16000081,S03000013,S08000020
S01006820,S02001290,S13002505,S12000034,S16000076,S03000013,S08000020
S01006821,S02001290,S13002505,S12000034,S16000076,S03000013,S08000020
S01006822,S02001290,S13002506,S12000034,S16000081,S03000013,S08000020
S01006823,S02001291,S13002506,S12000034,S16000081,S03000013,S08000020
S01006824,S02001291,S13002506,S12000034,S16000081,S03000013,S08000020
S01006825,S02001291,S13002506,S12000034,S16000081,S03000013,S08000020
S01006826,S02001291,S13002506,S12000034,S16000081,S03000013,S08000020
S01006827,S02001291,S13002506,S12000034,S16000081,S03000013,S08000020
S01006828,S02001291,S13002506,S12000034,S16000081,S03000013,S08000020
S01006829,S02001291,S13002506,S12000034,S16000081,S03000013,S08000020
S01006830,S02001292,S13002506,S12000034,S16000081,S03000013,S08000020
S01006831,S02001292,S13002506,S12000034,S16000081,S03000013,S08000020
S01006832,S02001292,S13002506,S12000034,S16000081,S03000013,S08000020
S01006833,S02001292,S13002506,S12000034,S16000081,S03000013,S08000020
S01006834,S02001292,S13002506,S12000034,S16000081,S03000013,S08000020
S01006835,S02001292,S13002506,S12000034,S16000081,S03000013,S08000020
S01006836,S02001292,S13002506,S12000034,S16000081,S03000013,S08000020
S01006837,S02001292,S13002506,S12000034,S16000081,S03000013,S08000020
S01006838,S02001292,S13002506,S12000034,S16000081,S03000013,S08000020
S01006839,S02001293,S13002505,S12000034,S16000076,S03000013,S08000020
S01006840,S02001293,S13002505,S12000034,S16000076,S03000013,S08000020
S01006841,S02001293,S13002505,S12000034,S16000076,S03000013,S08000020
S01006842,S02001294,S13002505,S12000034,S16000076,S03000013,S08000020
S01006843,S02001294,S13002505,S12000034,S16000076,S03000013,S08000020
S01006844,S02001294,S13002505,S12000034,S16000076,S03000013,S08000020
S01006845,S02001294,S13002505,S12000034,S16000076,S03000013,S08000020
S01006846,S02001294,S13002505,S12000034,S16000076,S03000013,S08000020
S01006847,S02001294,S13002505,S12000034,S16000076,S03000013,S08000020
S01006848,S02001295,S13002505,S12000034,S16000076,S03000013,S08000020
S01006849,S02001295,S13002505,S12000034,S16000076,S03000013,S08000020
S01006850,S02001295,S13002505,S12000034,S16000076,S03000013,S08000020
S01006851,S02001295,S13002505,S12000034,S16000076,S03000013,S08000020
S01006852,S02001295,S13002505,S12000034,S16000076,S03000013,S08000020
S01006853,S02001296,S13002505,S12000034,S16000076,S03000013,S08000020
S01006854,S02001296,S13002506,S12000034,S16000078,S03000013,S08000020
S01006855,S02001296,S13002506,S12000034,S16000078,S03000013,S08000020
S01006856,S02001296,S13002501,S12000034,S16000078,S03000013,S08000020
S01006857,S02001296,S13002501,S12000034,S16000078,S03000013,S08000020
S01006858,S02001296,S13002501,S12000034,S16000078,S03000013,S08000020
S01006859,S02001297,S13002504,S12000034,S16000078,S03000013,S08000020
S01006860,S02001297,S13002504,S12000034,S16000078,S03000013,S08000020
S01006861,S02001297,S13002504,S12000034,S16000078,S03000013,S08000020
